,interaction,reward,relative_interaction,hyp_discovered_before,scenario_number,datetime
379,25.0,2.857,17.0,-4.0,6,2024-01-26_23-04-01
380,26.0,3.906,18.0,-4.0,6,2024-01-26_23-04-01
381,1.0,-0.417,-7.0,-3.0,3,2024-01-26_22-53-15
382,2.0,0.0,-6.0,-3.0,3,2024-01-26_22-53-15
383,3.0,-1.562,-5.0,-3.0,3,2024-01-26_22-53-15
384,4.0,0.0,-4.0,-3.0,3,2024-01-26_22-53-15
385,5.0,3.571,-3.0,-3.0,3,2024-01-26_22-53-15
386,6.0,2.0,-2.0,-3.0,3,2024-01-26_22-53-15
387,7.0,3.125,-1.0,-3.0,3,2024-01-26_22-53-15
388,8.0,3.125,0.0,-3.0,3,2024-01-26_22-53-15
389,9.0,3.125,1.0,-3.0,3,2024-01-26_22-53-15
390,10.0,0.0,2.0,-3.0,3,2024-01-26_22-53-15
391,11.0,4.167,3.0,-3.0,3,2024-01-26_22-53-15
392,12.0,3.571,4.0,-3.0,3,2024-01-26_22-53-15
393,13.0,2.679,5.0,-3.0,3,2024-01-26_22-53-15
394,14.0,3.906,6.0,-3.0,3,2024-01-26_22-53-15
395,15.0,3.81,7.0,-3.0,3,2024-01-26_22-53-15
396,16.0,3.125,8.0,-3.0,3,2024-01-26_22-53-15
397,17.0,2.857,9.0,-3.0,3,2024-01-26_22-53-15
398,18.0,3.81,10.0,-3.0,3,2024-01-26_22-53-15
399,19.0,4.688,11.0,-3.0,3,2024-01-26_22-53-15
400,20.0,4.667,12.0,-3.0,3,2024-01-26_22-53-15
401,21.0,2.344,13.0,-3.0,3,2024-01-26_22-53-15
402,22.0,3.81,14.0,-3.0,3,2024-01-26_22-53-15
403,23.0,2.5,15.0,-3.0,3,2024-01-26_22-53-15
404,1.0,-2.5,-19.0,-19.0,0,2024-01-26_22-50-08
405,2.0,3.571,-18.0,-19.0,0,2024-01-26_22-50-08
406,3.0,0.0,-17.0,-19.0,0,2024-01-26_22-50-08
407,4.0,0.0,-16.0,-19.0,0,2024-01-26_22-50-08
408,5.0,3.75,-15.0,-19.0,0,2024-01-26_22-50-08
409,6.0,0.833,-14.0,-19.0,0,2024-01-26_22-50-08
410,7.0,3.5,-13.0,-19.0,0,2024-01-26_22-50-08
411,8.0,3.571,-12.0,-19.0,0,2024-01-26_22-50-08
412,9.0,3.571,-11.0,-19.0,0,2024-01-26_22-50-08
413,10.0,3.571,-10.0,-19.0,0,2024-01-26_22-50-08
414,11.0,-1.25,-9.0,-19.0,0,2024-01-26_22-50-08
415,12.0,3.906,-8.0,-19.0,0,2024-01-26_22-50-08
416,13.0,3.571,-7.0,-19.0,0,2024-01-26_22-50-08
417,14.0,4.167,-6.0,-19.0,0,2024-01-26_22-50-08
418,15.0,3.571,-5.0,-19.0,0,2024-01-26_22-50-08
419,16.0,0.0,-4.0,-19.0,0,2024-01-26_22-50-08
420,17.0,-3.571,-3.0,-19.0,0,2024-01-26_22-50-08
421,18.0,3.889,-2.0,-19.0,0,2024-01-26_22-50-08
